,Train_Params,MAE,MAE,Test_Params,MAE,MAE
0.0,T_32_B_16_H_8_train,0.06851629753337188,0.08197614305570647,T_32_B_16_H_8_test,0.06851629753337188,0.08197614305570647
1.0,T_32_B_16_H_16_train,0.05873620231365404,0.07595472238593207,T_32_B_16_H_16_test,0.05873620231365404,0.07595472238593207
2.0,T_32_B_16_H_24_train,0.0785776558831713,0.08007601652529825,T_32_B_16_H_24_test,0.0785776558831713,0.08007601652529825
3.0,T_32_B_16_H_32_train,0.08742733949092064,0.0987577534982479,T_32_B_16_H_32_test,0.08742733949092064,0.0987577534982479
4.0,T_32_B_16_H_64_train,0.3177713021282616,0.32412396251775855,T_32_B_16_H_64_test,0.3177713021282616,0.32412396251775855
5.0,T_32_B_32_H_8_train,0.07118866305061863,0.08712301536000491,T_32_B_32_H_8_test,0.07118866305061863,0.08712301536000491
6.0,T_32_B_32_H_16_train,0.0816231660143476,0.09586670880013425,T_32_B_32_H_16_test,0.0816231660143476,0.09586670880013425
7.0,T_32_B_32_H_24_train,0.06812970156057478,0.07706263847091657,T_32_B_32_H_24_test,0.06812970156057478,0.07706263847091657
8.0,T_32_B_32_H_32_train,0.0704510660281053,0.07706447540441912,T_32_B_32_H_32_test,0.0704510660281053,0.07706447540441912
9.0,T_32_B_32_H_64_train,,,T_32_B_32_H_64_test,,
10.0,T_32_B_64_H_8_train,0.062115828757962975,0.07309204968490643,T_32_B_64_H_8_test,0.062115828757962975,0.07309204968490643
11.0,T_32_B_64_H_16_train,0.0653974119821485,0.08308572235715295,T_32_B_64_H_16_test,0.0653974119821485,0.08308572235715295
12.0,T_32_B_64_H_24_train,0.06354242533436862,0.07668911583676095,T_32_B_64_H_24_test,0.06354242533436862,0.07668911583676095
13.0,T_32_B_64_H_32_train,0.0755208515196428,0.08414222463337993,T_32_B_64_H_32_test,0.0755208515196428,0.08414222463337993
14.0,T_32_B_64_H_64_train,0.07704704246943389,0.09072359548950099,T_32_B_64_H_64_test,0.07704704246943389,0.09072359548950099
15.0,T_32_B_128_H_8_train,0.08714364814042334,0.0982218462535927,T_32_B_128_H_8_test,0.08714364814042334,0.0982218462535927
16.0,T_32_B_128_H_16_train,0.06765848518679377,0.08437040334862228,T_32_B_128_H_16_test,0.06765848518679377,0.08437040334862228
17.0,T_32_B_128_H_24_train,0.0812668317219244,0.09606438679428815,T_32_B_128_H_24_test,0.0812668317219244,0.09606438679428815
18.0,T_32_B_128_H_32_train,0.07330334309938313,0.07680493827843891,T_32_B_128_H_32_test,0.07330334309938313,0.07680493827843891
19.0,T_32_B_128_H_64_train,0.2691715127229944,0.2748227763070573,T_32_B_128_H_64_test,0.2691715127229944,0.2748227763070573
